paper_id,query,anchor,relevance,hidden_assumption,deception_surface
R51-027,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-028,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-029,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-030,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-031,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-032,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-033,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-034,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-035,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-036,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-037,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-038,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-039,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-040,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-041,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-042,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-043,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-044,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-045,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-046,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-047,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-048,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-049,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-050,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-051,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-052,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-053,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-054,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-055,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-056,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-057,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-058,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-059,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-060,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-061,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-062,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-063,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-064,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-065,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-066,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-067,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-068,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-069,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-070,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-071,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-072,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-073,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-074,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-075,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-076,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-077,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-078,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-079,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-080,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-081,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-082,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-083,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-084,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-085,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-086,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-087,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-088,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-089,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-090,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-091,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-092,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-093,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-094,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-095,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-096,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-097,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-098,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-099,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-100,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-101,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-102,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-103,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-104,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-105,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-106,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-107,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-108,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-109,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-110,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-111,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-112,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-113,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-114,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-115,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-116,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-117,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-118,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-119,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-120,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-121,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-122,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-123,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-124,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-125,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-126,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-127,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-128,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-129,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-130,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-131,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-132,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-133,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-134,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-135,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-136,counterfactual tasks embodied robot evaluation shortcut,causal evaluation,Changing noncausal cues can separate robust competence from shortcut use.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-137,dataset bias embodied robot evaluation shortcut,Torralba and Efros,Static benchmarks can reward dataset artifacts.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-138,shortcut learning embodied robot evaluation shortcut,Geirhos et al.,Models can exploit noncausal cues that fail under distribution shift.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-139,interactive evaluation embodied robot evaluation shortcut,Kiela et al.,Evaluation can be adversarially updated after failures.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-140,robot benchmark leakage embodied robot evaluation shortcut,robotics evaluation,"Robots can exploit reset state, fixture layout, or simulator regularities.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-141,sim-to-real shortcut embodied robot evaluation shortcut,robot learning,Policies can pass in simulation while relying on unreal physical cues.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-142,embodied task design embodied robot evaluation shortcut,robot manipulation,Physical probes can reveal whether success came from causal task variables.,The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
R51-143,adversarial validation embodied robot evaluation shortcut,model auditing,"Stress tests should expose false certification, not only average score.",The reported evaluation score reflects deployable physical competence.,A noncausal cue can be optimized without solving the embodied task.
